Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-1-GetModels-1,1,28,28,28,28,28,28,28,0.000%,35.71429,10.85,4.39
Op-1-GetModels-2,1,34,34,34,34,34,34,34,0.000%,29.41176,8.93,3.62
Op-1-GetModels-4,1,15,15,15,15,15,15,15,0.000%,66.66667,20.25,8.20
Op-1-GetModels-3,1,33,33,33,33,33,33,33,0.000%,30.30303,9.20,3.73
Op-1-GetModels-5,1,35,35,35,35,35,35,35,0.000%,28.57143,8.68,3.52
Op-1-GetModels-8,1,13,13,13,13,13,13,13,0.000%,76.92308,23.36,9.47
Op-1-GetModels-6,1,41,41,41,41,41,41,41,0.000%,24.39024,7.41,3.00
Op-1-GetModels-7,1,32,32,32,32,32,32,32,0.000%,31.25000,9.49,3.85
Op-1-GetModels-9,1,64,64,64,64,64,64,64,0.000%,15.62500,4.75,1.92
Op-1-GetModels-10,1,29,29,29,29,29,29,29,0.000%,34.48276,10.47,4.24
Op-1-GetModels-14,1,43,43,43,43,43,43,43,0.000%,23.25581,7.06,2.86
Op-1-GetModels-12,1,69,69,69,69,69,69,69,0.000%,14.49275,4.40,1.78
Op-1-GetModels-15,1,22,22,22,22,22,22,22,0.000%,45.45455,13.81,5.59
Op-1-GetModels-11,1,93,93,93,93,93,93,93,0.000%,10.75269,3.27,1.32
Op-1-GetModels-16,1,45,45,45,45,45,45,45,0.000%,22.22222,6.75,2.73
Op-1-GetModels-13,1,90,90,90,90,90,90,90,0.000%,11.11111,3.37,1.37
Op-1-GetModels-17,1,31,31,31,31,31,31,31,0.000%,32.25806,9.80,3.97
Op-1-GetModels-19,1,11,11,11,11,11,11,11,0.000%,90.90909,27.61,11.19
Op-1-GetModels-20,1,35,35,35,35,35,35,35,0.000%,28.57143,8.68,3.52
Op-1-GetModels-23,1,3,3,3,3,3,3,3,0.000%,333.33333,101.24,41.02
Op-1-GetModels-24,1,5,5,5,5,5,5,5,0.000%,200.00000,60.74,24.61
Op-1-GetModels-21,1,55,55,55,55,55,55,55,0.000%,18.18182,5.52,2.24
Op-1-GetModels-18,1,94,94,94,94,94,94,94,0.000%,10.63830,3.23,1.31
Op-1-GetModels-22,1,52,52,52,52,52,52,52,0.000%,19.23077,5.84,2.37
Op-1-GetModels-25,1,18,18,18,18,18,18,18,0.000%,55.55556,16.87,6.84
Op-1-GetModels-26,1,33,33,33,33,33,33,33,0.000%,30.30303,9.20,3.73
Op-1-GetModels-28,1,41,41,41,41,41,41,41,0.000%,24.39024,7.41,3.00
Op-1-GetModels-27,1,43,43,43,43,43,43,43,0.000%,23.25581,7.06,2.86
Op-1-GetModels-29,1,33,33,33,33,33,33,33,0.000%,30.30303,9.20,3.73
Op-1-GetModels-30,1,35,35,35,35,35,35,35,0.000%,28.57143,8.68,3.52
Op-1-GetModels-33,1,33,33,33,33,33,33,33,0.000%,30.30303,9.20,3.73
Op-1-GetModels-34,1,12,12,12,12,12,12,12,0.000%,83.33333,25.31,10.25
Op-1-GetModels-35,1,12,12,12,12,12,12,12,0.000%,83.33333,25.31,10.25
Op-1-GetModels-32,1,98,98,98,98,98,98,98,0.000%,10.20408,3.10,1.26
Op-1-GetModels-36,1,71,71,71,71,71,71,71,0.000%,14.08451,4.28,1.73
Op-1-GetModels-37,1,10,10,10,10,10,10,10,0.000%,100.00000,30.37,12.30
Op-1-GetModels-31,1,117,117,117,117,117,117,117,0.000%,8.54701,2.60,1.05
Op-1-GetModels-38,1,32,32,32,32,32,32,32,0.000%,31.25000,9.49,3.85
Op-1-GetModels-39,1,52,52,52,52,52,52,52,0.000%,19.23077,5.84,2.37
Op-1-GetModels-40,1,53,53,53,53,53,53,53,0.000%,18.86792,5.73,2.32
Op-1-GetModels-43,1,26,26,26,26,26,26,26,0.000%,38.46154,11.68,4.73
Op-1-GetModels-41,1,23,23,23,23,23,23,23,0.000%,43.47826,13.20,5.35
Op-1-GetModels-42,1,23,23,23,23,23,23,23,0.000%,43.47826,13.20,5.35
Op-1-GetModels-44,1,24,24,24,24,24,24,24,0.000%,41.66667,12.65,5.13
Op-1-GetModels-46,1,40,40,40,40,40,40,40,0.000%,25.00000,7.59,3.08
Op-1-GetModels-45,1,63,63,63,63,63,63,63,0.000%,15.87302,4.82,1.95
Op-1-GetModels-47,1,68,68,68,68,68,68,68,0.000%,14.70588,4.47,1.81
Op-1-GetModels-49,1,49,49,49,49,49,49,49,0.000%,20.40816,6.20,2.51
Op-1-GetModels-48,1,54,54,54,54,54,54,54,0.000%,18.51852,5.62,2.28
Op-1-GetModels-50,1,47,47,47,47,47,47,47,0.000%,21.27660,6.46,2.62
Op-1-GetModels-56,1,8,8,8,8,8,8,8,0.000%,125.00000,37.96,15.38
Op-1-GetModels-55,1,14,14,14,14,14,14,14,0.000%,71.42857,21.69,8.79
Op-1-GetModels-52,1,43,43,43,43,43,43,43,0.000%,23.25581,7.06,2.86
Op-1-GetModels-51,1,44,44,44,44,44,44,44,0.000%,22.72727,6.90,2.80
Op-1-GetModels-53,1,61,61,61,61,61,61,61,0.000%,16.39344,4.98,2.02
Op-1-GetModels-54,1,80,80,80,80,80,80,80,0.000%,12.50000,3.80,1.54
Op-1-GetModels-57,1,37,37,37,37,37,37,37,0.000%,27.02703,8.21,3.33
Op-1-GetModels-58,1,24,24,24,24,24,24,24,0.000%,41.66667,12.65,5.13
Op-1-GetModels-61,1,12,12,12,12,12,12,12,0.000%,83.33333,25.31,10.25
Op-1-GetModels-59,1,14,14,14,14,14,14,14,0.000%,71.42857,21.69,8.79
Op-1-GetModels-60,1,38,38,38,38,38,38,38,0.000%,26.31579,7.99,3.24
Op-1-GetModels-62,1,30,30,30,30,30,30,30,0.000%,33.33333,10.12,4.10
Op-1-GetModels-64,1,27,27,27,27,27,27,27,0.000%,37.03704,11.25,4.56
Op-1-GetModels-63,1,32,32,32,32,32,32,32,0.000%,31.25000,9.49,3.85
Op-1-GetModels-65,1,28,28,28,28,28,28,28,0.000%,35.71429,10.85,4.39
Op-1-GetModels-66,1,52,52,52,52,52,52,52,0.000%,19.23077,5.84,2.37
Op-1-GetModels-69,1,18,18,18,18,18,18,18,0.000%,55.55556,16.87,6.84
Op-1-GetModels-70,1,22,22,22,22,22,22,22,0.000%,45.45455,13.81,5.59
Op-1-GetModels-68,1,43,43,43,43,43,43,43,0.000%,23.25581,7.06,2.86
Op-1-GetModels-67,1,69,69,69,69,69,69,69,0.000%,14.49275,4.40,1.78
Op-1-GetModels-71,1,17,17,17,17,17,17,17,0.000%,58.82353,17.87,7.24
Op-1-GetModels-72,1,27,27,27,27,27,27,27,0.000%,37.03704,11.25,4.56
Op-1-GetModels-73,1,17,17,17,17,17,17,17,0.000%,58.82353,17.87,7.24
Op-1-GetModels-74,1,21,21,21,21,21,21,21,0.000%,47.61905,14.46,5.86
Op-1-GetModels-75,1,13,13,13,13,13,13,13,0.000%,76.92308,23.36,9.47
Op-2-GetAnimations-2,1,10993,10993,10993,10993,10993,10993,10993,0.000%,.09097,0.02,0.01
Op-2-GetAnimations-19,1,11316,11316,11316,11316,11316,11316,11316,0.000%,.08837,0.02,0.01
Op-2-GetAnimations-12,1,12306,12306,12306,12306,12306,12306,12306,0.000%,.08126,0.02,0.01
Op-2-GetAnimations-10,1,12364,12364,12364,12364,12364,12364,12364,0.000%,.08088,0.02,0.01
Op-2-GetAnimations-1,1,14364,14364,14364,14364,14364,14364,14364,0.000%,.06962,0.02,0.01
Op-2-GetAnimations-6,1,14624,14624,14624,14624,14624,14624,14624,0.000%,.06838,0.02,0.01
Op-2-GetAnimations-13,1,16268,16268,16268,16268,16268,16268,16268,0.000%,.06147,0.02,0.01
Op-2-GetAnimations-74,1,22511,22511,22511,22511,22511,22511,22511,0.000%,.04442,0.01,0.01
Op-2-GetAnimations-32,1,22990,22990,22990,22990,22990,22990,22990,0.000%,.04350,0.01,0.01
Op-2-GetAnimations-65,1,26404,26404,26404,26404,26404,26404,26404,0.000%,.03787,0.01,0.01
Op-2-GetAnimations-23,1,27232,27232,27232,27232,27232,27232,27232,0.000%,.03672,0.01,0.01
Op-2-GetAnimations-3,1,29168,29168,29168,29168,29168,29168,29168,0.000%,.03428,0.01,0.01
Op-2-GetAnimations-45,1,35390,35390,35390,35390,35390,35390,35390,0.000%,.02826,0.01,0.00
Op-2-GetAnimations-47,1,35801,35801,35801,35801,35801,35801,35801,0.000%,.02793,0.01,0.00
Op-2-GetAnimations-29,1,36747,36747,36747,36747,36747,36747,36747,0.000%,.02721,0.01,0.00
Op-2-GetAnimations-43,1,36745,36745,36745,36745,36745,36745,36745,0.000%,.02721,0.01,0.00
Op-2-GetAnimations-34,1,38249,38249,38249,38249,38249,38249,38249,0.000%,.02614,0.01,0.00
Op-2-GetAnimations-57,1,38020,38020,38020,38020,38020,38020,38020,0.000%,.02630,0.01,0.00
Op-2-GetAnimations-64,1,38483,38483,38483,38483,38483,38483,38483,0.000%,.02599,0.01,0.00
Op-3-GetItems-13,1,23617,23617,23617,23617,23617,23617,23617,0.000%,.04234,0.05,0.01
Op-2-GetAnimations-69,1,41708,41708,41708,41708,41708,41708,41708,0.000%,.02398,0.01,0.00
Op-3-GetItems-45,1,12883,12883,12883,12883,12883,12883,12883,0.000%,.07762,0.09,0.01
Op-2-GetAnimations-51,1,48527,48527,48527,48527,48527,48527,48527,0.000%,.02061,0.01,0.00
Op-3-GetItems-3,1,21818,21818,21818,21818,21818,21818,21818,0.000%,.04583,0.06,0.01
Op-3-GetItems-64,1,14012,14012,14012,14012,14012,14012,14012,0.000%,.07137,0.09,0.01
Op-3-GetItems-6,1,42304,42304,42304,42304,42304,42304,42304,0.000%,.02364,0.03,0.00
Op-2-GetAnimations-21,1,57070,57070,57070,57070,57070,57070,57070,0.000%,.01752,0.00,0.00
Op-2-GetAnimations-31,1,57318,57318,57318,57318,57318,57318,57318,0.000%,.01745,0.00,0.00
Op-2-GetAnimations-54,1,60885,60885,60885,60885,60885,60885,60885,0.000%,.01642,0.00,0.00
Op-3-GetItems-74,1,38822,38822,38822,38822,38822,38822,38822,0.000%,.02576,0.03,0.00
Op-2-GetAnimations-33,1,62079,62079,62079,62079,62079,62079,62079,0.000%,.01611,0.00,0.00
Op-3-GetItems-57,1,29044,29044,29044,29044,29044,29044,29044,0.000%,.03443,0.04,0.01
Op-2-GetAnimations-72,1,68363,68363,68363,68363,68363,68363,68363,0.000%,.01463,0.00,0.00
Op-2-GetAnimations-59,1,71455,71455,71455,71455,71455,71455,71455,0.000%,.01399,0.00,0.00
Op-2-GetAnimations-18,1,72024,72024,72024,72024,72024,72024,72024,0.000%,.01388,0.00,0.00
Op-4-HideElement-74,1,15690,15690,15690,15690,15690,15690,15690,0.000%,.06373,0.02,0.02
Op-2-GetAnimations-42,1,78101,78101,78101,78101,78101,78101,78101,0.000%,.01280,0.00,0.00
Op-3-GetItems-33,1,18199,18199,18199,18199,18199,18199,18199,0.000%,.05495,0.07,0.01
Op-2-GetAnimations-44,1,80425,80425,80425,80425,80425,80425,80425,0.000%,.01243,0.00,0.00
Op-3-GetItems-10,1,69114,69114,69114,69114,69114,69114,69114,0.000%,.01447,0.02,0.00
Op-2-GetAnimations-73,1,83181,83181,83181,83181,83181,83181,83181,0.000%,.01202,0.00,0.00
Op-2-GetAnimations-20,1,85096,85096,85096,85096,85096,85096,85096,0.000%,.01175,0.00,0.00
Op-2-GetAnimations-60,1,86707,86707,86707,86707,86707,86707,86707,0.000%,.01153,0.00,0.00
Op-2-GetAnimations-62,1,91817,91817,91817,91817,91817,91817,91817,0.000%,.01089,0.00,0.00
Op-2-GetAnimations-30,1,92494,92494,92494,92494,92494,92494,92494,0.000%,.01081,0.00,0.00
Op-4-HideElement-57,1,28065,28065,28065,28065,28065,28065,28065,0.000%,.03563,0.01,0.01
Op-2-GetAnimations-55,1,96428,96428,96428,96428,96428,96428,96428,0.000%,.01037,0.00,0.00
Op-2-GetAnimations-58,1,96663,96663,96663,96663,96663,96663,96663,0.000%,.01035,0.00,0.00
Op-3-GetItems-19,1,86193,86193,86193,86193,86193,86193,86193,0.000%,.01160,0.01,0.00
