Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Workflow-User-4,1,75577,75577,75577,0.00,0.000%,.01323,0.04,0.03,3366.0
Op-8-GenerateAvatar-1,1,3057,3057,3057,0.00,0.000%,.32712,0.09,0.12,292.0
Workflow-User-1,1,76494,76494,76494,0.00,0.000%,.01307,0.04,0.03,3366.0
Op-4-HideElement-2,1,73147,73147,73147,0.00,0.000%,.01367,0.00,0.01,292.0
Op-8-GenerateAvatar-6,1,8997,8997,8997,0.00,0.000%,.11115,0.03,0.04,292.0
Workflow-User-6,1,78870,78870,78870,0.00,0.000%,.01268,0.04,0.03,3366.0
Op-5-ShowElement-2,1,2782,2782,2782,0.00,0.000%,.35945,0.10,0.13,292.0
Op-2-GetAnimations-5,1,82301,82301,82301,0.00,0.000%,.01215,0.00,0.00,296.0
Op-6-ChangeTextureColor-2,1,3070,3070,3070,0.00,0.000%,.32573,0.09,0.12,292.0
Op-3-GetItems-5,1,2979,2979,2979,0.00,0.000%,.33568,0.43,0.05,1298.0
Op-7-ChangeTextureMaterial-2,1,2867,2867,2867,0.00,0.000%,.34880,0.10,0.13,292.0
Op-4-HideElement-5,1,3013,3013,3013,0.00,0.000%,.33190,0.09,0.14,292.0
Op-8-GenerateAvatar-2,1,2898,2898,2898,0.00,0.000%,.34507,0.10,0.12,292.0
Workflow-User-2,1,90555,90555,90555,0.00,0.000%,.01104,0.04,0.03,3366.0
Op-5-ShowElement-5,1,3027,3027,3027,0.00,0.000%,.33036,0.09,0.12,292.0
Op-2-GetAnimations-9,1,93632,93632,93632,0.00,0.000%,.01068,0.00,0.00,296.0
Op-6-ChangeTextureColor-5,1,2994,2994,2994,0.00,0.000%,.33400,0.10,0.13,292.0
Op-3-GetItems-9,1,3030,3030,3030,0.00,0.000%,.33003,0.42,0.05,1298.0
Op-7-ChangeTextureMaterial-5,1,3063,3063,3063,0.00,0.000%,.32648,0.09,0.13,292.0
Op-4-HideElement-9,1,2924,2924,2924,0.00,0.000%,.34200,0.10,0.14,292.0
Op-8-GenerateAvatar-5,1,2860,2860,2860,0.00,0.000%,.34965,0.10,0.12,292.0
Workflow-User-5,1,100254,100254,100254,0.00,0.000%,.00997,0.03,0.02,3366.0
Op-5-ShowElement-9,1,2761,2761,2761,0.00,0.000%,.36219,0.10,0.13,292.0
Op-6-ChangeTextureColor-9,1,2657,2657,2657,0.00,0.000%,.37636,0.11,0.14,292.0
Op-7-ChangeTextureMaterial-9,1,2704,2704,2704,0.00,0.000%,.36982,0.11,0.14,292.0
Op-8-GenerateAvatar-9,1,2711,2711,2711,0.00,0.000%,.36887,0.11,0.13,292.0
Workflow-User-9,1,110429,110429,110429,0.00,0.000%,.00906,0.03,0.02,3366.0
TOTAL,90,15533,1,110429,27433.83,0.000%,.80913,0.59,0.42,748.0
