timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655409721504,23,Op-1-GetModels-1,200,OK,w3sd Workflow 1-1,text,true,,311,126,1,1,http://10.108.196.111/api/model,18,0,1
1655409721611,4,Op-1-GetModels-2,200,OK,w3sd Workflow 1-2,text,true,,311,126,2,2,http://10.108.196.111/api/model,4,0,1
1655409721707,5,Op-1-GetModels-3,200,OK,w3sd Workflow 1-3,text,true,,311,126,3,3,http://10.108.196.111/api/model,5,0,0
1655409721808,5,Op-1-GetModels-4,200,OK,w3sd Workflow 1-4,text,true,,311,126,4,4,http://10.108.196.111/api/model,5,0,0
1655409721907,7,Op-1-GetModels-5,200,OK,w3sd Workflow 1-5,text,true,,311,126,5,5,http://10.108.196.111/api/model,7,0,0
1655409722007,51,Op-1-GetModels-6,200,OK,w3sd Workflow 1-6,text,true,,311,126,6,6,http://10.108.196.111/api/model,51,0,0
1655409722112,16,Op-1-GetModels-7,200,OK,w3sd Workflow 1-7,text,true,,311,126,7,7,http://10.108.196.111/api/model,15,0,1
1655409722207,25,Op-1-GetModels-8,200,OK,w3sd Workflow 1-8,text,true,,311,126,8,8,http://10.108.196.111/api/model,25,0,1
1655409722320,9,Op-1-GetModels-9,200,OK,w3sd Workflow 1-9,text,true,,311,126,9,9,http://10.108.196.111/api/model,9,0,0
1655409722444,8,Op-1-GetModels-10,200,OK,w3sd Workflow 1-10,text,true,,311,126,10,10,http://10.108.196.111/api/model,8,0,1
1655409721616,9456,Op-2-GetAnimations-2,200,OK,w3sd Workflow 1-2,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,9456,0,1
1655409721713,9404,Op-2-GetAnimations-3,200,OK,w3sd Workflow 1-3,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,9404,0,0
1655409721533,9890,Op-2-GetAnimations-1,200,OK,w3sd Workflow 1-1,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,9890,0,6
1655409721914,10955,Op-2-GetAnimations-5,200,OK,w3sd Workflow 1-5,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,10955,0,1
1655409721814,11256,Op-2-GetAnimations-4,200,OK,w3sd Workflow 1-4,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,11256,0,0
1655409731073,6716,Op-3-GetItems-2,200,OK,w3sd Workflow 1-2,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,6716,0,0
1655409731423,6840,Op-3-GetItems-1,200,OK,w3sd Workflow 1-1,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,6840,0,1
1655409722330,17386,Op-2-GetAnimations-9,200,OK,w3sd Workflow 1-9,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,17386,0,0
1655409733071,7324,Op-3-GetItems-4,200,OK,w3sd Workflow 1-4,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,7324,0,0
1655409737791,7688,Op-4-HideElement-2,200,OK,w3sd Workflow 1-2,text,true,,246,379,10,10,http://10.97.252.148/api/model/character.fbx/hide,7688,0,1
1655409722059,23799,Op-2-GetAnimations-6,200,OK,w3sd Workflow 1-6,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,23799,0,0
1655409722233,25370,Op-2-GetAnimations-8,200,OK,w3sd Workflow 1-8,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,25370,0,0
1655409740395,7778,Op-4-HideElement-4,200,OK,w3sd Workflow 1-4,text,true,,246,379,10,10,http://10.97.252.148/api/model/character.fbx/hide,7778,0,1
1655409745860,7496,Op-3-GetItems-6,200,OK,w3sd Workflow 1-6,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,7496,0,0
1655409739718,15218,Op-3-GetItems-9,200,OK,w3sd Workflow 1-9,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,15218,0,0
1655409748175,7515,Op-5-ShowElement-4,200,OK,w3sd Workflow 1-4,text,true,,246,330,10,10,http://10.97.252.148/api/model/character.fbx/show,7515,0,0
1655409745480,10294,Op-5-ShowElement-2,200,OK,w3sd Workflow 1-2,text,true,,246,330,10,10,http://10.97.252.148/api/model/character.fbx/show,10294,0,0
1655409747605,11108,Op-3-GetItems-8,200,OK,w3sd Workflow 1-8,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,11108,0,0
1655409732869,30388,Op-3-GetItems-5,200,OK,w3sd Workflow 1-5,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,30388,0,1
1655409755690,8550,Op-6-ChangeTextureColor-4,200,OK,w3sd Workflow 1-4,text,true,,246,344,10,10,http://10.111.165.248/api/model/character.fbx/texturecolor,8550,0,0
1655409754935,10106,Op-4-HideElement-9,200,OK,w3sd Workflow 1-9,text,true,,246,379,10,10,http://10.97.252.148/api/model/character.fbx/hide,10106,0,0
1655409722453,43152,Op-2-GetAnimations-10,200,OK,w3sd Workflow 1-10,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,43152,0,0
1655409755774,10294,Op-6-ChangeTextureColor-2,200,OK,w3sd Workflow 1-2,text,true,,246,344,10,10,http://10.111.165.248/api/model/character.fbx/texturecolor,10294,0,0
1655409722128,45154,Op-2-GetAnimations-7,200,OK,w3sd Workflow 1-7,text,true,,250,150,10,10,http://10.109.14.128/api/model/character.fbx/animations,45154,0,0
1655409731117,42831,Op-3-GetItems-3,200,OK,w3sd Workflow 1-3,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,42831,0,1
1655409764242,9945,Op-7-ChangeTextureMaterial-4,200,OK,w3sd Workflow 1-4,text,true,,246,351,10,10,http://10.111.165.248/api/model/character.fbx/texturematerial,9945,0,0
1655409767284,7780,Op-3-GetItems-7,200,OK,w3sd Workflow 1-7,text,true,,1253,150,10,10,http://10.97.252.148/api/model/character.fbx/assemblies,7780,0,0
