Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-1,1,19,19,19,0.00,0.000%,52.63158,15.98,6.48,311.0
Op-1-GetModels-2,1,58,58,58,0.00,0.000%,17.24138,5.24,2.12,311.0
Op-1-GetModels-3,1,67,67,67,0.00,0.000%,14.92537,4.53,1.84,311.0
Op-1-GetModels-4,1,38,38,38,0.00,0.000%,26.31579,7.99,3.24,311.0
Op-1-GetModels-5,1,51,51,51,0.00,0.000%,19.60784,5.96,2.41,311.0
Op-1-GetModels-6,1,74,74,74,0.00,0.000%,13.51351,4.10,1.66,311.0
Op-1-GetModels-7,1,52,52,52,0.00,0.000%,19.23077,5.84,2.37,311.0
Op-1-GetModels-8,1,24,24,24,0.00,0.000%,41.66667,12.65,5.13,311.0
Op-1-GetModels-10,1,46,46,46,0.00,0.000%,21.73913,6.60,2.67,311.0
Op-1-GetModels-11,1,15,15,15,0.00,0.000%,66.66667,20.25,8.20,311.0
Op-1-GetModels-9,1,97,97,97,0.00,0.000%,10.30928,3.13,1.27,311.0
Op-1-GetModels-13,1,22,22,22,0.00,0.000%,45.45455,13.81,5.59,311.0
Op-1-GetModels-12,1,60,60,60,0.00,0.000%,16.66667,5.06,2.05,311.0
Op-1-GetModels-14,1,33,33,33,0.00,0.000%,30.30303,9.20,3.73,311.0
Op-1-GetModels-15,1,34,34,34,0.00,0.000%,29.41176,8.93,3.62,311.0
Op-1-GetModels-18,1,25,25,25,0.00,0.000%,40.00000,12.15,4.92,311.0
Op-1-GetModels-17,1,60,60,60,0.00,0.000%,16.66667,5.06,2.05,311.0
Op-1-GetModels-16,1,71,71,71,0.00,0.000%,14.08451,4.28,1.73,311.0
Op-1-GetModels-19,1,79,79,79,0.00,0.000%,12.65823,3.84,1.56,311.0
Op-1-GetModels-21,1,37,37,37,0.00,0.000%,27.02703,8.21,3.33,311.0
Op-1-GetModels-20,1,126,126,126,0.00,0.000%,7.93651,2.41,0.98,311.0
Op-1-GetModels-24,1,38,38,38,0.00,0.000%,26.31579,7.99,3.24,311.0
Op-1-GetModels-26,1,23,23,23,0.00,0.000%,43.47826,13.20,5.35,311.0
Op-1-GetModels-23,1,109,109,109,0.00,0.000%,9.17431,2.79,1.13,311.0
Op-1-GetModels-27,1,27,27,27,0.00,0.000%,37.03704,11.25,4.56,311.0
Op-1-GetModels-22,1,140,140,140,0.00,0.000%,7.14286,2.17,0.88,311.0
Op-1-GetModels-25,1,70,70,70,0.00,0.000%,14.28571,4.34,1.76,311.0
Op-1-GetModels-29,1,41,41,41,0.00,0.000%,24.39024,7.41,3.00,311.0
Op-1-GetModels-30,1,27,27,27,0.00,0.000%,37.03704,11.25,4.56,311.0
Op-1-GetModels-28,1,79,79,79,0.00,0.000%,12.65823,3.84,1.56,311.0
Op-1-GetModels-31,1,36,36,36,0.00,0.000%,27.77778,8.44,3.42,311.0
Op-1-GetModels-34,1,6,6,6,0.00,0.000%,166.66667,50.62,20.51,311.0
Op-1-GetModels-32,1,53,53,53,0.00,0.000%,18.86792,5.73,2.32,311.0
Op-1-GetModels-33,1,60,60,60,0.00,0.000%,16.66667,5.06,2.05,311.0
Op-1-GetModels-35,1,47,47,47,0.00,0.000%,21.27660,6.46,2.62,311.0
Op-1-GetModels-36,1,49,49,49,0.00,0.000%,20.40816,6.20,2.51,311.0
Op-1-GetModels-37,1,31,31,31,0.00,0.000%,32.25806,9.80,3.97,311.0
Op-1-GetModels-39,1,46,46,46,0.00,0.000%,21.73913,6.60,2.67,311.0
Op-1-GetModels-41,1,36,36,36,0.00,0.000%,27.77778,8.44,3.42,311.0
Op-1-GetModels-38,1,93,93,93,0.00,0.000%,10.75269,3.27,1.32,311.0
Op-1-GetModels-42,1,22,22,22,0.00,0.000%,45.45455,13.81,5.59,311.0
Op-1-GetModels-40,1,46,46,46,0.00,0.000%,21.73913,6.60,2.67,311.0
Op-1-GetModels-44,1,33,33,33,0.00,0.000%,30.30303,9.20,3.73,311.0
Op-1-GetModels-46,1,23,23,23,0.00,0.000%,43.47826,13.20,5.35,311.0
Op-1-GetModels-43,1,96,96,96,0.00,0.000%,10.41667,3.16,1.28,311.0
Op-1-GetModels-45,1,63,63,63,0.00,0.000%,15.87302,4.82,1.95,311.0
Op-1-GetModels-47,1,28,28,28,0.00,0.000%,35.71429,10.85,4.39,311.0
Op-1-GetModels-49,1,10,10,10,0.00,0.000%,100.00000,30.37,12.30,311.0
Op-1-GetModels-48,1,87,87,87,0.00,0.000%,11.49425,3.49,1.41,311.0
Op-1-GetModels-50,1,17,17,17,0.00,0.000%,58.82353,17.87,7.24,311.0
Op-2-GetAnimations-11,1,9598,9598,9598,0.00,0.000%,.10419,0.03,0.02,250.0
Op-2-GetAnimations-3,1,9995,9995,9995,0.00,0.000%,.10005,0.02,0.01,250.0
Op-2-GetAnimations-6,1,10058,10058,10058,0.00,0.000%,.09942,0.02,0.01,250.0
Op-2-GetAnimations-5,1,10542,10542,10542,0.00,0.000%,.09486,0.02,0.01,250.0
Op-2-GetAnimations-2,1,12008,12008,12008,0.00,0.000%,.08328,0.02,0.01,250.0
Op-2-GetAnimations-1,1,15204,15204,15204,0.00,0.000%,.06577,0.02,0.01,250.0
Op-3-GetItems-3,1,10938,10938,10938,0.00,0.000%,.09142,0.11,0.01,1253.0
Op-2-GetAnimations-17,1,20753,20753,20753,0.00,0.000%,.04819,0.01,0.01,250.0
Op-2-GetAnimations-33,1,20615,20615,20615,0.00,0.000%,.04851,0.01,0.01,250.0
Op-3-GetItems-5,1,10923,10923,10923,0.00,0.000%,.09155,0.11,0.01,1253.0
Op-2-GetAnimations-49,1,21497,21497,21497,0.00,0.000%,.04652,0.01,0.01,250.0
Op-2-GetAnimations-18,1,27380,27380,27380,0.00,0.000%,.03652,0.01,0.01,250.0
Op-3-GetItems-2,1,19101,19101,19101,0.00,0.000%,.05235,0.06,0.01,1253.0
Op-2-GetAnimations-12,1,31720,31720,31720,0.00,0.000%,.03153,0.01,0.00,250.0
Op-2-GetAnimations-42,1,31498,31498,31498,0.00,0.000%,.03175,0.01,0.00,250.0
Op-3-GetItems-33,1,11716,11716,11716,0.00,0.000%,.08535,0.10,0.01,1253.0
Op-2-GetAnimations-38,1,34463,34463,34463,0.00,0.000%,.02902,0.01,0.00,250.0
Op-2-GetAnimations-44,1,35320,35320,35320,0.00,0.000%,.02831,0.01,0.00,250.0
Op-3-GetItems-49,1,19067,19067,19067,0.00,0.000%,.05245,0.06,0.01,1253.0
Op-2-GetAnimations-50,1,41211,41211,41211,0.00,0.000%,.02427,0.01,0.00,250.0
Op-2-GetAnimations-27,1,42932,42932,42932,0.00,0.000%,.02329,0.01,0.00,250.0
Op-3-GetItems-18,1,17126,17126,17126,0.00,0.000%,.05839,0.07,0.01,1253.0
Op-3-GetItems-17,1,25405,25405,25405,0.00,0.000%,.03936,0.05,0.01,1253.0
Op-3-GetItems-38,1,13093,13093,13093,0.00,0.000%,.07638,0.09,0.01,1253.0
Op-3-GetItems-44,1,16003,16003,16003,0.00,0.000%,.06249,0.08,0.01,1253.0
Op-4-HideElement-18,1,11959,11959,11959,0.00,0.000%,.08362,0.02,0.03,246.0
Op-4-HideElement-33,1,24663,24663,24663,0.00,0.000%,.04055,0.01,0.02,246.0
