Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-1,1,19,19,19,0.00,0.000%,52.63158,15.98,6.48,311.0
Op-1-GetModels-2,1,36,36,36,0.00,0.000%,27.77778,8.44,3.42,311.0
Op-1-GetModels-3,1,19,19,19,0.00,0.000%,52.63158,15.98,6.48,311.0
Op-1-GetModels-6,1,66,66,66,0.00,0.000%,15.15152,4.60,1.86,311.0
Op-1-GetModels-7,1,15,15,15,0.00,0.000%,66.66667,20.25,8.20,311.0
Op-1-GetModels-8,1,9,9,9,0.00,0.000%,111.11111,33.75,13.67,311.0
Op-1-GetModels-4,1,153,153,153,0.00,0.000%,6.53595,1.99,0.80,311.0
Op-1-GetModels-5,1,140,140,140,0.00,0.000%,7.14286,2.17,0.88,311.0
Op-1-GetModels-9,1,85,85,85,0.00,0.000%,11.76471,3.57,1.45,311.0
Op-1-GetModels-10,1,86,86,86,0.00,0.000%,11.62791,3.53,1.43,311.0
Op-1-GetModels-11,1,56,56,56,0.00,0.000%,17.85714,5.42,2.20,311.0
Op-1-GetModels-13,1,16,16,16,0.00,0.000%,62.50000,18.98,7.69,311.0
Op-1-GetModels-12,1,89,89,89,0.00,0.000%,11.23596,3.41,1.38,311.0
Op-1-GetModels-14,1,41,41,41,0.00,0.000%,24.39024,7.41,3.00,311.0
Op-1-GetModels-15,1,19,19,19,0.00,0.000%,52.63158,15.98,6.48,311.0
Op-1-GetModels-16,1,7,7,7,0.00,0.000%,142.85714,43.39,17.58,311.0
Op-1-GetModels-17,1,50,50,50,0.00,0.000%,20.00000,6.07,2.46,311.0
Op-1-GetModels-18,1,37,37,37,0.00,0.000%,27.02703,8.21,3.33,311.0
Op-1-GetModels-19,1,5,5,5,0.00,0.000%,200.00000,60.74,24.61,311.0
Op-1-GetModels-20,1,16,16,16,0.00,0.000%,62.50000,18.98,7.69,311.0
Op-1-GetModels-23,1,19,19,19,0.00,0.000%,52.63158,15.98,6.48,311.0
Op-1-GetModels-21,1,89,89,89,0.00,0.000%,11.23596,3.41,1.38,311.0
Op-1-GetModels-22,1,68,68,68,0.00,0.000%,14.70588,4.47,1.81,311.0
Op-1-GetModels-24,1,23,23,23,0.00,0.000%,43.47826,13.20,5.35,311.0
Op-1-GetModels-25,1,26,26,26,0.00,0.000%,38.46154,11.68,4.73,311.0
Op-2-GetAnimations-3,1,9865,9865,9865,0.00,0.000%,.10137,0.02,0.01,250.0
Op-2-GetAnimations-11,1,10490,10490,10490,0.00,0.000%,.09533,0.02,0.01,250.0
Op-2-GetAnimations-2,1,11267,11267,11267,0.00,0.000%,.08875,0.02,0.01,250.0
Op-2-GetAnimations-7,1,11763,11763,11763,0.00,0.000%,.08501,0.02,0.01,250.0
Op-2-GetAnimations-8,1,13711,13711,13711,0.00,0.000%,.07293,0.02,0.01,250.0
Op-2-GetAnimations-6,1,14180,14180,14180,0.00,0.000%,.07052,0.02,0.01,250.0
Op-2-GetAnimations-1,1,14492,14492,14492,0.00,0.000%,.06900,0.02,0.01,250.0
Op-3-GetItems-3,1,10955,10955,10955,0.00,0.000%,.09128,0.11,0.01,1253.0
Op-2-GetAnimations-12,1,20766,20766,20766,0.00,0.000%,.04816,0.01,0.01,250.0
Op-2-GetAnimations-16,1,21591,21591,21591,0.00,0.000%,.04632,0.01,0.01,250.0
Op-2-GetAnimations-10,1,22091,22091,22091,0.00,0.000%,.04527,0.01,0.01,250.0
Op-2-GetAnimations-15,1,23305,23305,23305,0.00,0.000%,.04291,0.01,0.01,250.0
Op-2-GetAnimations-5,1,23705,23705,23705,0.00,0.000%,.04219,0.01,0.01,250.0
Op-3-GetItems-1,1,14890,14890,14890,0.00,0.000%,.06716,0.08,0.01,1253.0
Op-2-GetAnimations-21,1,30426,30426,30426,0.00,0.000%,.03287,0.01,0.00,250.0
Op-3-GetItems-7,1,19828,19828,19828,0.00,0.000%,.05043,0.06,0.01,1253.0
Op-2-GetAnimations-20,1,31481,31481,31481,0.00,0.000%,.03177,0.01,0.00,250.0
Op-3-GetItems-5,1,9374,9374,9374,0.00,0.000%,.10668,0.13,0.02,1253.0
Op-3-GetItems-15,1,11260,11260,11260,0.00,0.000%,.08881,0.11,0.01,1253.0
Op-3-GetItems-6,1,24287,24287,24287,0.00,0.000%,.04117,0.05,0.01,1253.0
Op-2-GetAnimations-18,1,38536,38536,38536,0.00,0.000%,.02595,0.01,0.00,250.0
Op-4-HideElement-7,1,9914,9914,9914,0.00,0.000%,.10087,0.02,0.04,246.0
Op-2-GetAnimations-24,1,41221,41221,41221,0.00,0.000%,.02426,0.01,0.00,250.0
Op-3-GetItems-8,1,29977,29977,29977,0.00,0.000%,.03336,0.04,0.00,1253.0
Op-3-GetItems-20,1,11814,11814,11814,0.00,0.000%,.08465,0.10,0.01,1253.0
Op-3-GetItems-10,1,28443,28443,28443,0.00,0.000%,.03516,0.04,0.01,1253.0
Op-4-HideElement-15,1,17433,17433,17433,0.00,0.000%,.05736,0.01,0.02,246.0
Op-5-ShowElement-7,1,10871,10871,10871,0.00,0.000%,.09199,0.02,0.03,246.0
Op-4-HideElement-1,1,23328,23328,23328,0.00,0.000%,.04287,0.01,0.02,246.0
Op-3-GetItems-24,1,10854,10854,10854,0.00,0.000%,.09213,0.11,0.01,1253.0
Op-3-GetItems-21,1,23300,23300,23300,0.00,0.000%,.04292,0.05,0.01,1253.0
Op-4-HideElement-6,1,17679,17679,17679,0.00,0.000%,.05656,0.01,0.02,246.0
Op-2-GetAnimations-17,1,59788,59788,59788,0.00,0.000%,.01673,0.00,0.00,250.0
Op-4-HideElement-10,1,10816,10816,10816,0.00,0.000%,.09246,0.02,0.03,246.0
Op-3-GetItems-2,1,50704,50704,50704,0.00,0.000%,.01972,0.02,0.00,1253.0
Op-4-HideElement-24,1,11227,11227,11227,0.00,0.000%,.08907,0.02,0.03,246.0
Op-4-HideElement-21,1,10235,10235,10235,0.00,0.000%,.09770,0.02,0.04,246.0
