96,micro_200,Op-1,"[0.82, 1.0, 1.0]","[51.4, 27.5, 15.3]","[[23.9, 19.5], [24.2, 15.1], [32.9, 30.9]]","[47.6, 47.6, 51.4]",1685477998.5921495,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
64,micro_200,Op-1,"[0.82, 1.0, 1.0]","[67.6, 32.8, 16.6]","[[17.4, 14.6], [25.8, 15.7], [21.8, 20.8]]","[47.5, 47.6, 50.2]",1685477998.4214687,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
47,micro_200,Op-1,"[0.82, 1.0, 1.0]","[70.0, 34.1, 15.3]","[[17.2, 17.0], [25.0, 15.7], [19.5, 19.0]]","[47.5, 47.6, 49.6]",1685477998.3767457,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
18,micro_200,Op-1,"[0.82, 1.0, 1.0]","[87.5, 26.3, 17.4]","[[18.5, 18.4], [33.7, 18.9], [13.7, 12.1]]","[47.5, 47.6, 47.7]",1685477998.1463172,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
15,micro_200,Op-1,"[0.82, 1.0, 1.0]","[83.6, 28.2, 17.2]","[[18.5, 19.3], [30.4, 18.7], [14.0, 11.2]]","[47.5, 47.6, 47.9]",1685477998.1989522,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
111,micro_200,Op-1,"[0.82, 1.0, 1.0]","[47.0, 25.7, 15.2]","[[23.9, 20.5], [25.0, 16.3], [37.9, 35.9]]","[47.5, 47.6, 52.2]",1685477998.6601532,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
31,micro_200,Op-1,"[0.82, 1.0, 1.0]","[76.2, 31.6, 16.9]","[[19.4, 18.6], [24.2, 18.4], [16.7, 14.9]]","[47.5, 47.6, 48.6]",1685477998.2555819,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
46,micro_200,Op-1,"[0.82, 1.0, 1.0]","[72.7, 33.0, 16.3]","[[17.4, 17.4], [23.1, 13.6], [20.0, 18.3]]","[47.5, 47.6, 49.4]",1685477998.3427474,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
9,micro_200,Op-1,"[0.82, 1.0, 1.0]","[85.0, 27.8, 18.2]","[[18.5, 18.4], [31.2, 18.7], [13.8, 11.1]]","[47.5, 47.6, 47.9]",1685477998.1874623,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
57,micro_200,Op-1,"[0.82, 1.0, 1.0]","[69.0, 34.1, 15.9]","[[16.5, 15.7], [26.1, 15.9], [21.0, 17.9]]","[47.5, 47.6, 49.8]",1685477998.3938007,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
32,micro_200,Op-1,"[0.82, 1.0, 1.0]","[75.9, 32.4, 16.9]","[[17.4, 18.2], [23.9, 16.9], [17.2, 15.5]]","[47.5, 47.6, 48.7]",1685477998.2821505,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
71,micro_200,Op-1,"[0.82, 1.0, 1.0]","[66.7, 32.8, 16.6]","[[17.6, 14.4], [25.8, 15.9], [22.8, 20.8]]","[47.5, 47.6, 50.4]",1685477998.4396427,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
63,micro_200,Op-1,"[0.82, 1.0, 1.0]","[68.3, 33.5, 16.6]","[[16.3, 14.6], [26.1, 15.9], [21.2, 19.2]]","[47.5, 47.6, 49.9]",1685477998.4111636,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
117,micro_200,Op-1,"[0.82, 1.0, 1.0]","[43.9, 27.9, 15.8]","[[25.0, 18.8], [21.5, 14.9], [42.9, 41.0]]","[47.5, 47.6, 52.5]",1685477998.7169435,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
110,micro_200,Op-1,"[0.82, 1.0, 1.0]","[48.0, 25.6, 15.8]","[[25.0, 20.5], [24.2, 15.1], [37.3, 35.4]]","[47.5, 47.6, 52.0]",1685477998.6391194,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
36,micro_200,Op-1,"[0.82, 1.0, 1.0]","[75.6, 32.2, 16.8]","[[16.1, 18.2], [23.1, 14.6], [19.5, 17.1]]","[47.5, 47.6, 49.2]",1685477998.3069723,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
28,micro_200,Op-1,"[0.82, 1.0, 1.0]","[81.2, 29.1, 16.9]","[[19.4, 19.3], [28.3, 19.1], [14.3, 13.3]]","[47.5, 47.6, 48.2]",1685477998.2182631,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
26,micro_200,Op-1,"[0.82, 1.0, 1.0]","[80.6, 29.7, 17.0]","[[19.6, 19.5], [28.3, 18.2], [14.3, 13.5]]","[47.5, 47.6, 48.2]",1685477998.2200606,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
48,micro_200,Op-1,"[0.82, 1.0, 1.0]","[70.7, 34.3, 15.3]","[[17.4, 16.3], [23.9, 15.7], [19.3, 18.8]]","[47.5, 47.6, 49.6]",1685477998.3607776,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
70,micro_200,Op-1,"[0.82, 1.0, 1.0]","[65.5, 32.2, 16.6]","[[18.5, 14.4], [25.5, 15.7], [24.1, 22.4]]","[47.5, 47.6, 50.5]",1685477998.4520586,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
77,micro_200,Op-1,"[0.82, 1.0, 1.0]","[66.2, 32.4, 16.5]","[[18.3, 14.4], [25.8, 15.7], [22.8, 21.1]]","[47.5, 47.6, 50.2]",1685477998.4451253,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
23,micro_200,Op-1,"[0.82, 1.0, 1.0]","[80.0, 29.5, 17.0]","[[19.4, 19.3], [27.5, 19.1], [14.3, 13.5]]","[47.5, 47.6, 48.2]",1685477998.2216594,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
98,micro_200,Op-1,"[0.82, 1.0, 1.0]","[53.7, 28.5, 15.3]","[[21.7, 18.4], [24.2, 15.1], [31.0, 29.0]]","[47.5, 47.6, 51.3]",1685477998.5719063,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
192,micro_200,Op-1,"[1.0, 1.0, 1.0]","[20.1, 27.3, 13.0]","[[26.7, 25.6], [15.8, 13.6], [95.0, 94.7]]","[47.5, 47.6, 56.2]",1685477999.1240866,[],[],[],[],[],"[{'blender': {'cpu': 0, 'memory': 0}}, {'utils': {'cpu': 0, 'memory': 0}}, {'assemblies': {'cpu': 0, 'memory': 0}}, {'animations': {'cpu': 0, 'memory': 0}}, {'textures': {'cpu': 0, 'memory': 0}}]"
