Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-1-GetModels-1,1,3,3,3,3,3,3,3,0.000%,333.33333,101.56,41.99
Op-1-GetModels-2,1,3,3,3,3,3,3,3,0.000%,333.33333,101.56,41.99
Op-1-GetModels-3,1,14,14,14,14,14,14,14,0.000%,71.42857,21.76,9.00
Op-2-GetAnimations-1,1,2946,2946,2946,2946,2946,2946,2946,0.000%,.33944,0.10,0.05
Op-2-GetAnimations-2,1,2936,2936,2936,2936,2936,2936,2936,0.000%,.34060,0.10,0.05
Op-3-GetItems-1,1,2970,2970,2970,2970,2970,2970,2970,0.000%,.33670,0.43,0.05
Op-3-GetItems-2,1,2891,2891,2891,2891,2891,2891,2891,0.000%,.34590,0.44,0.05
Op-4-HideElement-1,1,2818,2818,2818,2818,2818,2818,2818,0.000%,.35486,0.10,0.15
Op-4-HideElement-2,1,2971,2971,2971,2971,2971,2971,2971,0.000%,.33659,0.10,0.14
Op-5-ShowElement-1,1,2961,2961,2961,2961,2961,2961,2961,0.000%,.33772,0.10,0.12
Op-5-ShowElement-2,1,2865,2865,2865,2865,2865,2865,2865,0.000%,.34904,0.10,0.13
Op-6-ChangeTextureColor-1,1,2987,2987,2987,2987,2987,2987,2987,0.000%,.33478,0.10,0.13
Op-6-ChangeTextureColor-2,1,2968,2968,2968,2968,2968,2968,2968,0.000%,.33693,0.10,0.13
Op-7-ChangeTextureMaterial-1,1,2896,2896,2896,2896,2896,2896,2896,0.000%,.34530,0.10,0.13
Op-7-ChangeTextureMaterial-2,1,2997,2997,2997,2997,2997,2997,2997,0.000%,.33367,0.10,0.13
Op-8-GenerateAvatar-1,1,2857,2857,2857,2857,2857,2857,2857,0.000%,.35002,0.10,0.12
Workflow-User-1,1,20438,20438,20438,20438,20438,20438,20438,0.000%,.04892,0.16,0.11
Op-8-GenerateAvatar-2,1,2971,2971,2971,2971,2971,2971,2971,0.000%,.33659,0.10,0.12
Workflow-User-2,1,20602,20602,20602,20602,20602,20602,20602,0.000%,.04853,0.16,0.11
Op-2-GetAnimations-3,1,23221,23221,23221,23221,23221,23221,23221,0.000%,.04306,0.01,0.01
Op-3-GetItems-3,1,2580,2580,2580,2580,2580,2580,2580,0.000%,.38760,0.49,0.06
Op-4-HideElement-3,1,2657,2657,2657,2657,2657,2657,2657,0.000%,.37636,0.11,0.16
Op-5-ShowElement-3,1,2635,2635,2635,2635,2635,2635,2635,0.000%,.37951,0.11,0.14
Op-6-ChangeTextureColor-3,1,2661,2661,2661,2661,2661,2661,2661,0.000%,.37580,0.11,0.14
Op-7-ChangeTextureMaterial-3,1,2668,2668,2668,2668,2668,2668,2668,0.000%,.37481,0.11,0.14
Op-8-GenerateAvatar-3,1,2652,2652,2652,2652,2652,2652,2652,0.000%,.37707,0.11,0.13
Workflow-User-3,1,39088,39088,39088,39088,39088,39088,39088,0.000%,.02558,0.08,0.06
TOTAL,27,5935,2896,20438,23221,39088,3,39088,0.000%,.67930,0.50,0.35
