id,study,operation,totalcpuusageOS,totalcpuusagepsutils,cpuusagepsutil,memoryusage,timestamp
1,mono_25,Op-1,"[0.43, 0.56, 0.56]","[97.8, 100.0, 99.5]","[[100.0, 99.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 19.9, 21.5]",1685199003.7437334
2,mono_25,Op-1,"[0.43, 0.56, 0.56]","[98.9, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.1, 20.1, 21.5]",1685199003.7850251
3,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.1, 20.1, 21.7]",1685199003.8399494
4,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 20.2, 21.8]",1685199003.8926375
5,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 20.2, 21.8]",1685199003.9360964
6,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 20.3, 21.8]",1685199003.9811063
7,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 20.5, 21.8]",1685199003.9979448
8,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 20.5, 21.9]",1685199004.0376756
9,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 20.5, 21.9]",1685199004.0596912
10,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 20.7, 21.9]",1685199004.1121778
11,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.3, 20.7, 21.9]",1685199004.1543615
12,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 99.5]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.3, 20.8, 22.0]",1685199004.1948361
13,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.5, 20.8, 21.9]",1685199004.2434618
14,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.5, 20.8, 22.0]",1685199004.2793276
15,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.6, 20.8, 22.0]",1685199004.3114512
16,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.6, 20.8, 21.9]",1685199004.3564808
17,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.7, 20.9, 21.9]",1685199004.403133
18,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.7, 20.9, 21.9]",1685199004.4425864
19,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.8, 20.9, 21.9]",1685199004.4714262
20,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.8, 21.0, 22.0]",1685199004.5085015
21,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.9, 21.2, 22.0]",1685199004.5634198
22,mono_25,Op-1,"[0.43, 0.56, 0.56]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 21.1, 22.0]",1685199004.5993981
