36,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 22.1, 22.8]",1685349254.994948
23,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.8]",1685349254.815694
38,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 22.1, 22.8]",1685349255.0124042
26,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 22.1, 22.8]",1685349254.84461
29,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.2, 22.7]",1685349254.888755
22,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.9]",1685349254.8102384
37,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 22.1, 22.8]",1685349254.9974372
21,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.7]",1685349254.8137684
33,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.7]",1685349254.9634569
35,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 22.1, 22.8]",1685349254.9834924
27,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.2, 22.7]",1685349254.8619125
31,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.7]",1685349254.9105675
39,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.2, 22.9]",1685349255.0254269
40,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.2, 22.9]",1685349255.0490057
43,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.1, 22.8]",1685349255.087793
41,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.2, 22.8]",1685349255.0771835
45,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.2, 22.7]",1685349255.1187284
42,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.1, 22.7]",1685349255.0867755
44,mono_100,Op-1,"[0.58, 1.58, 1.58]","[99.5, 99.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.1, 22.7]",1685349255.0704308
47,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 22.1, 22.8]",1685349255.1435733
46,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 22.1, 22.9]",1685349255.1346169
49,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.8]",1685349255.2094493
55,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.3, 22.7]",1685349255.2730224
50,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.7]",1685349255.2252111
54,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.3, 22.7]",1685349255.273791
56,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.2, 22.8]",1685349255.3116174
48,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.7]",1685349255.1948721
51,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.1, 22.7]",1685349255.2543225
58,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.2, 22.8]",1685349255.329627
53,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.2, 22.7]",1685349255.2695725
57,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.2, 22.7]",1685349255.318109
52,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.2, 22.8]",1685349255.2580988
59,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.2, 22.7]",1685349255.375667
60,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.2, 22.7]",1685349255.3990982
62,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.1, 22.9]",1685349255.44072
61,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[22.0, 22.1, 22.8]",1685349255.4151373
64,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.9]",1685349255.4595609
63,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.9]",1685349255.4468005
65,mono_100,Op-1,"[0.58, 1.58, 1.58]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.9, 22.1, 22.9]",1685349255.4731884
