id,study,operation,totalcpuusageOS,totalcpuusagepsutils,cpuusagepsutil,memoryusage,timestamp
1,mono_5,Op-1,"[0.56, 0.84, 0.84]","[91.3, 97.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.3, 20.9, 22.1]",1685198687.8034728
2,mono_5,Op-1,"[0.56, 0.84, 0.84]","[100.0, 100.0, 100.0]","[[94.9, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 20.9, 22.1]",1685198688.0007246
3,mono_5,Op-1,"[0.56, 0.84, 0.84]","[100.0, 99.5, 100.0]","[[94.8, 100.0], [100.0, 100.0], [100.0, 99.0]]","[21.8, 21.3, 18.9]",1685198688.2086167
4,mono_5,Op-1,"[0.56, 0.84, 0.84]","[100.0, 99.5, 100.0]","[[95.0, 100.0], [100.0, 100.0], [100.0, 99.0]]","[22.0, 21.1, 19.7]",1685198688.4255717
5,mono_5,Op-1,"[0.56, 0.84, 0.84]","[100.0, 99.5, 100.0]","[[94.9, 100.0], [100.0, 100.0], [100.0, 99.0]]","[22.0, 21.2, 20.3]",1685198688.6153977
1,mono_5,Op-2,"[0.84, 0.84, 0.93]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 99.0], [100.0, 100.0]]","[21.3, 20.9, 22.1]",1685198690.9835172
2,mono_5,Op-2,"[0.84, 0.84, 0.93]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 99.0], [100.0, 100.0]]","[21.6, 20.9, 22.1]",1685198691.104759
1,mono_5,Op-3,"[0.84, 0.93, 0.93]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 99.0], [100.0, 100.0]]","[21.3, 20.9, 22.1]",1685198694.128876
2,mono_5,Op-3,"[0.84, 0.93, 0.93]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 99.0], [100.0, 100.0]]","[21.6, 20.9, 22.1]",1685198694.2183595
1,mono_5,Op-4,"[0.93, 0.93, 1.02]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 96.9], [100.0, 100.0]]","[21.6, 20.9, 22.1]",1685198697.265027
2,mono_5,Op-4,"[0.93, 0.93, 1.02]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 97.0], [100.0, 100.0]]","[21.7, 20.9, 22.2]",1685198697.3325422
1,mono_5,Op-5,"[1.02, 1.02, 1.02]","[98.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 91.9], [92.1, 100.0]]","[21.7, 21.0, 22.2]",1685198700.3600435
2,mono_5,Op-5,"[1.02, 1.02, 1.1]","[98.5, 100.0, 100.0]","[[100.0, 100.0], [99.0, 91.9], [92.2, 100.0]]","[21.8, 21.0, 22.2]",1685198700.4147701
1,mono_5,Op-6,"[1.02, 1.1, 1.1]","[95.9, 96.0, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 100.0]]","[21.4, 21.0, 22.2]",1685198703.432734
2,mono_5,Op-6,"[1.02, 1.1, 1.1]","[97.0, 95.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 21.0, 22.2]",1685198703.5361726
1,mono_5,Op-7,"[1.1, 1.1, 1.17]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [53.5, 66.7], [100.0, 90.6]]","[21.5, 20.3, 21.9]",1685198706.474039
2,mono_5,Op-7,"[1.1, 1.1, 1.17]","[100.0, 92.9, 100.0]","[[100.0, 100.0], [64.0, 71.0], [100.0, 90.8]]","[21.8, 20.8, 22.0]",1685198706.7442007
1,mono_5,Op-8,"[1.17, 1.17, 1.17]","[60.6, 95.4, 100.0]","[[100.0, 100.0], [100.0, 99.0], [100.0, 100.0]]","[21.2, 20.2, 21.9]",1685198709.6163604
