id,study,operation,totalcpuusageOS,totalcpuusagepsutils,cpuusagepsutil,memoryusage,timestamp
1,mono_75,Op-1,"[1.01, 1.57, 1.57]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.0, 21.1]",1685348014.7586422
2,mono_75,Op-1,"[1.01, 1.57, 1.57]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.0, 21.2]",1685348014.7707508
3,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 22.1, 21.1]",1685348014.8019855
4,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 22.1, 21.2]",1685348014.8202446
5,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.1, 21.3]",1685348014.8431773
6,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.3, 21.5]",1685348014.8725872
7,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 22.2, 21.4]",1685348014.887921
8,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 22.2, 21.4]",1685348014.9295592
9,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 22.2, 21.4]",1685348014.933515
10,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 22.3, 21.4]",1685348014.9438646
11,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.2, 21.4]",1685348014.9676683
12,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.2, 21.5]",1685348014.9785612
13,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.2, 21.5]",1685348014.9791079
14,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.2, 21.5]",1685348014.9896967
15,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.2, 21.5]",1685348015.014105
16,mono_75,Op-1,"[1.01, 1.57, 1.57]","[100.0, 100.0, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.6, 22.2, 21.7]",1685348015.0463557
