id,study,operation,totalcpuusageOS,totalcpuusagepsutils,cpuusagepsutil,memoryusage,timestamp
1,mono_3,Op-1,"[0.42, 0.42, 0.42]","[84.6, 100.0, 100.0]","[[100.0, 100.0], [92.9, 97.0], [93.0, 100.0]]","[21.5, 20.8, 20.7]",1685198614.9691913
2,mono_3,Op-1,"[0.42, 0.42, 0.55]","[99.5, 96.5, 100.0]","[[100.0, 100.0], [100.0, 96.9], [80.8, 100.0]]","[21.7, 21.0, 21.3]",1685198615.3153565
3,mono_3,Op-1,"[0.42, 0.42, 0.55]","[100.0, 95.0, 96.5]","[[100.0, 100.0], [100.0, 100.0], [87.9, 100.0]]","[22.0, 21.2, 20.0]",1685198615.6546924
1,mono_3,Op-2,"[0.42, 0.55, 0.55]","[95.0, 96.5, 100.0]","[[100.0, 100.0], [87.9, 100.0], [100.0, 100.0]]","[21.4, 20.3, 20.2]",1685198617.830359
2,mono_3,Op-2,"[0.42, 0.55, 0.55]","[98.5, 90.5, 100.0]","[[100.0, 100.0], [100.0, 100.0], [100.0, 100.0]]","[21.8, 21.1, 21.4]",1685198618.4020498
1,mono_3,Op-3,"[0.55, 0.55, 0.67]","[93.9, 100.0, 99.5]","[[100.0, 100.0], [100.0, 100.0], [99.0, 100.0]]","[21.3, 20.2, 20.3]",1685198620.8115954
2,mono_3,Op-3,"[0.55, 0.55, 0.67]","[100.0, 99.5, 100.0]","[[100.0, 100.0], [100.0, 99.0], [99.0, 100.0]]","[21.9, 21.1, 21.5]",1685198621.6187792
1,mono_3,Op-4,"[0.55, 0.67, 0.67]","[99.5, 100.0, 99.5]","[[100.0, 99.0], [100.0, 100.0], [100.0, 100.0]]","[21.5, 20.1, 22.0]",1685198623.8248196
2,mono_3,Op-4,"[0.67, 0.67, 0.67]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [100.0, 98.0], [99.0, 88.8]]","[21.9, 21.1, 21.5]",1685198624.7063072
1,mono_3,Op-5,"[0.67, 0.67, 0.77]","[99.5, 100.0, 98.5]","[[100.0, 98.0], [99.0, 88.8], [100.0, 100.0]]","[21.1, 21.5, 21.8]",1685198626.7727973
2,mono_3,Op-5,"[0.67, 0.77, 0.77]","[99.0, 93.4, 100.0]","[[100.0, 100.0], [99.0, 97.0], [100.0, 100.0]]","[21.9, 21.1, 21.4]",1685198627.7431862
1,mono_3,Op-6,"[0.77, 0.77, 0.77]","[93.9, 100.0, 100.0]","[[100.0, 97.0], [99.0, 100.0], [100.0, 100.0]]","[21.2, 19.9, 21.9]",1685198629.9696364
2,mono_3,Op-6,"[0.77, 0.77, 0.79]","[98.5, 99.5, 100.0]","[[100.0, 100.0], [99.0, 100.0], [100.0, 85.9]]","[21.8, 21.1, 21.4]",1685198630.826512
1,mono_3,Op-7,"[0.77, 0.79, 0.79]","[99.5, 100.0, 51.8]","[[100.0, 100.0], [80.8, 85.7], [10.0, 100.0]]","[21.4, 19.7, 20.3]",1685198633.1478553
