Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-69,1,170,170,170,0.00,0.000%,5.88235,1.79,0.74,312.0
Op-1-GetModels-70,1,158,158,158,0.00,0.000%,6.32911,1.93,0.80,312.0
Op-1-GetModels-71,1,161,161,161,0.00,0.000%,6.21118,1.89,0.78,312.0
Op-1-GetModels-72,1,169,169,169,0.00,0.000%,5.91716,1.80,0.75,312.0
Op-1-GetModels-73,1,158,158,158,0.00,0.000%,6.32911,1.93,0.80,312.0
Op-1-GetModels-74,1,151,151,151,0.00,0.000%,6.62252,2.02,0.83,312.0
Op-1-GetModels-75,1,188,188,188,0.00,0.000%,5.31915,1.62,0.67,312.0
Op-2-GetAnimations-1,1,4481,4481,4481,0.00,0.000%,.22316,0.06,0.03,296.0
Op-2-GetAnimations-2,1,4867,4867,4867,0.00,0.000%,.20547,0.06,0.03,296.0
Op-2-GetAnimations-21,1,8671,8671,8671,0.00,0.000%,.11533,0.03,0.02,296.0
Op-2-GetAnimations-43,1,8583,8583,8583,0.00,0.000%,.11651,0.03,0.02,296.0
Op-2-GetAnimations-40,1,12717,12717,12717,0.00,0.000%,.07863,0.02,0.01,296.0
Op-2-GetAnimations-55,1,12683,12683,12683,0.00,0.000%,.07885,0.02,0.01,296.0
Op-3-GetItems-40,1,4358,4358,4358,0.00,0.000%,.22946,0.29,0.03,1298.0
Op-3-GetItems-55,1,4358,4358,4358,0.00,0.000%,.22946,0.29,0.03,1298.0
Op-4-HideElement-55,1,5955,5955,5955,0.00,0.000%,.16793,0.05,0.07,292.0
Op-4-HideElement-40,1,6658,6658,6658,0.00,0.000%,.15020,0.04,0.06,292.0
Op-2-GetAnimations-70,1,23295,23295,23295,0.00,0.000%,.04293,0.01,0.01,296.0
Op-5-ShowElement-55,1,5509,5509,5509,0.00,0.000%,.18152,0.05,0.07,292.0
Op-5-ShowElement-40,1,5994,5994,5994,0.00,0.000%,.16683,0.05,0.06,292.0
Op-2-GetAnimations-61,1,29841,29841,29841,0.00,0.000%,.03351,0.01,0.01,296.0
Op-6-ChangeTextureColor-40,1,4066,4066,4066,0.00,0.000%,.24594,0.07,0.09,292.0
Op-2-GetAnimations-29,1,34544,34544,34544,0.00,0.000%,.02895,0.01,0.00,296.0
Op-7-ChangeTextureMaterial-40,1,4431,4431,4431,0.00,0.000%,.22568,0.06,0.09,292.0
Op-2-GetAnimations-73,1,38431,38431,38431,0.00,0.000%,.02602,0.01,0.00,296.0
Op-8-GenerateAvatar-40,1,4351,4351,4351,0.00,0.000%,.22983,0.07,0.08,292.0
Workflow-User-40,1,42677,42677,42677,0.00,0.000%,.02343,0.08,0.05,3366.0
Op-3-GetItems-73,1,4131,4131,4131,0.00,0.000%,.24207,0.31,0.04,1298.0
Op-2-GetAnimations-4,1,47406,47406,47406,0.00,0.000%,.02109,0.01,0.00,296.0
Op-2-GetAnimations-45,1,47421,47421,47421,0.00,0.000%,.02109,0.01,0.00,296.0
Op-3-GetItems-4,1,4408,4408,4408,0.00,0.000%,.22686,0.29,0.03,1298.0
Op-3-GetItems-45,1,4223,4223,4223,0.00,0.000%,.23680,0.30,0.04,1298.0
Op-2-GetAnimations-16,1,56085,56085,56085,0.00,0.000%,.01783,0.01,0.00,296.0
Op-4-HideElement-45,1,4526,4526,4526,0.00,0.000%,.22095,0.06,0.09,292.0
Op-3-GetItems-16,1,4355,4355,4355,0.00,0.000%,.22962,0.29,0.03,1298.0
Op-5-ShowElement-45,1,4305,4305,4305,0.00,0.000%,.23229,0.07,0.09,292.0
Op-6-ChangeTextureColor-55,1,35377,35377,35377,0.00,0.000%,.02827,0.01,0.01,292.0
Op-2-GetAnimations-15,1,65249,65249,65249,0.00,0.000%,.01533,0.00,0.00,296.0
Op-7-ChangeTextureMaterial-55,1,4467,4467,4467,0.00,0.000%,.22386,0.06,0.09,292.0
Op-2-GetAnimations-54,1,68963,68963,68963,0.00,0.000%,.01450,0.00,0.00,296.0
Op-8-GenerateAvatar-55,1,6164,6164,6164,0.00,0.000%,.16223,0.05,0.06,292.0
Workflow-User-55,1,74650,74650,74650,0.00,0.000%,.01340,0.04,0.03,3366.0
Op-3-GetItems-54,1,6225,6225,6225,0.00,0.000%,.16064,0.20,0.02,1298.0
