Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-1-GetModels-1,1,16,16,16,16,16,16,16,0.000%,62.50000,18.98,7.69
Op-1-GetModels-2,1,14,14,14,14,14,14,14,0.000%,71.42857,21.69,8.79
Op-1-GetModels-3,1,83,83,83,83,83,83,83,0.000%,12.04819,3.66,1.48
Op-1-GetModels-4,1,33,33,33,33,33,33,33,0.000%,30.30303,9.20,3.73
Op-1-GetModels-5,1,58,58,58,58,58,58,58,0.000%,17.24138,5.24,2.12
Op-2-GetAnimations-3,1,7265,7265,7265,7265,7265,7265,7265,0.000%,.13765,0.03,0.02
Op-2-GetAnimations-1,1,8295,8295,8295,8295,8295,8295,8295,0.000%,.12055,0.03,0.02
Op-2-GetAnimations-4,1,8375,8375,8375,8375,8375,8375,8375,0.000%,.11940,0.03,0.02
Op-2-GetAnimations-5,1,8640,8640,8640,8640,8640,8640,8640,0.000%,.11574,0.03,0.02
Op-2-GetAnimations-2,1,10760,10760,10760,10760,10760,10760,10760,0.000%,.09294,0.02,0.01
Op-3-GetItems-1,1,7123,7123,7123,7123,7123,7123,7123,0.000%,.14039,0.17,0.02
Op-3-GetItems-3,1,8155,8155,8155,8155,8155,8155,8155,0.000%,.12262,0.15,0.02
Op-3-GetItems-4,1,7483,7483,7483,7483,7483,7483,7483,0.000%,.13364,0.16,0.02
Op-3-GetItems-5,1,8042,8042,8042,8042,8042,8042,8042,0.000%,.12435,0.15,0.02
Op-4-HideElement-3,1,8496,8496,8496,8496,8496,8496,8496,0.000%,.11770,0.03,0.04
Op-4-HideElement-5,1,7682,7682,7682,7682,7682,7682,7682,0.000%,.13017,0.03,0.05
Op-4-HideElement-4,1,8757,8757,8757,8757,8757,8757,8757,0.000%,.11419,0.03,0.04
Op-4-HideElement-1,1,10726,10726,10726,10726,10726,10726,10726,0.000%,.09323,0.02,0.03
Op-3-GetItems-2,1,15937,15937,15937,15937,15937,15937,15937,0.000%,.06275,0.08,0.01
Op-5-ShowElement-3,1,7981,7981,7981,7981,7981,7981,7981,0.000%,.12530,0.03,0.04
Op-4-HideElement-2,1,6429,6429,6429,6429,6429,6429,6429,0.000%,.15555,0.04,0.06
Op-5-ShowElement-5,1,8380,8380,8380,8380,8380,8380,8380,0.000%,.11933,0.03,0.04
Op-5-ShowElement-4,1,9039,9039,9039,9039,9039,9039,9039,0.000%,.11063,0.03,0.04
Op-5-ShowElement-1,1,9677,9677,9677,9677,9677,9677,9677,0.000%,.10334,0.02,0.03
Op-6-ChangeTextureColor-5,1,5353,5353,5353,5353,5353,5353,5353,0.000%,.18681,0.04,0.06
Op-6-ChangeTextureColor-3,1,8676,8676,8676,8676,8676,8676,8676,0.000%,.11526,0.03,0.04
Op-6-ChangeTextureColor-4,1,7207,7207,7207,7207,7207,7207,7207,0.000%,.13875,0.03,0.05
Op-7-ChangeTextureMaterial-5,1,6816,6816,6816,6816,6816,6816,6816,0.000%,.14671,0.04,0.05
Op-7-ChangeTextureMaterial-3,1,7469,7469,7469,7469,7469,7469,7469,0.000%,.13389,0.03,0.05
Op-7-ChangeTextureMaterial-4,1,7185,7185,7185,7185,7185,7185,7185,0.000%,.13918,0.03,0.05
Op-6-ChangeTextureColor-1,1,13044,13044,13044,13044,13044,13044,13044,0.000%,.07666,0.02,0.03
Op-5-ShowElement-2,1,16305,16305,16305,16305,16305,16305,16305,0.000%,.06133,0.01,0.02
Op-6-ChangeTextureColor-2,1,6065,6065,6065,6065,6065,6065,6065,0.000%,.16488,0.04,0.06
Op-7-ChangeTextureMaterial-1,1,7082,7082,7082,7082,7082,7082,7082,0.000%,.14120,0.03,0.05
Op-8-GenerateAvatar-4,1,8176,8176,8176,8176,8176,8176,8176,0.000%,.12231,0.03,0.04
Workflow-User-4,1,56255,56255,56255,56255,56255,56255,56255,0.000%,.01778,0.05,0.04
Op-8-GenerateAvatar-5,1,11090,11090,11090,11090,11090,11090,11090,0.000%,.09017,0.02,0.03
Workflow-User-5,1,56061,56061,56061,56061,56061,56061,56061,0.000%,.01784,0.05,0.04
Op-7-ChangeTextureMaterial-2,1,5802,5802,5802,5802,5802,5802,5802,0.000%,.17235,0.04,0.06
Op-8-GenerateAvatar-1,1,5636,5636,5636,5636,5636,5636,5636,0.000%,.17743,0.04,0.05
Workflow-User-1,1,61599,61599,61599,61599,61599,61599,61599,0.000%,.01623,0.05,0.03
Op-8-GenerateAvatar-3,1,14912,14912,14912,14912,14912,14912,14912,0.000%,.06706,0.02,0.02
Workflow-User-3,1,63037,63037,63037,63037,63037,63037,63037,0.000%,.01586,0.05,0.03
Op-8-GenerateAvatar-2,1,11507,11507,11507,11507,11507,11507,11507,0.000%,.08690,0.02,0.03
Workflow-User-2,1,72819,72819,72819,72819,72819,72819,72819,0.000%,.01373,0.04,0.03
TOTAL,45,13767,8176,16305,61599,72819,14,72819,0.000%,.61611,0.41,0.29
